Player,Team,From,To,Position,Height,Weight,Birth Date,College,bball_id,draft_year,draft_round,draft_number
A.C. Green,Unknown,1986.0,2001.0,F-C,6-9,220.0,"October 4, 1963",Oregon State,greenac01,1985.0,1.0,23.0
A.J. Bramlett,Unknown,2000.0,2000.0,C,6-10,227.0,"January 10, 1977",Arizona,bramlaj01,1999.0,2.0,39.0
A.J. English,Unknown,1991.0,1992.0,G,6-3,175.0,"July 11, 1967",Virginia Union University,engliaj01,1990.0,2.0,37.0
A.J. Green,,2023.0,2025.0,G,6-4,200.0,"September 27, 1999",University of Northern Iowa,greenaj01,,,
A.J. Guyton,Unknown,2001.0,2003.0,G,6-1,180.0,"February 12, 1978",Indiana,guytoaj01,2000.0,2.0,32.0
A.J. Hammons,Unknown,2017.0,2017.0,C,7-0,260.0,"August 27, 1992",Purdue,hammoaj01,2016.0,2.0,46.0
A.J. Lawson,,2023.0,2025.0,G,6-6,179.0,"July 15, 2000",South Carolina,lawsoaj01,,,
A.J. Price,Unknown,2010.0,2015.0,G,6-2,181.0,"October 7, 1986",UConn,priceaj01,2009.0,2.0,52.0
A.J. Wynder,,1991.0,1991.0,G,6-2,180.0,"September 11, 1964","UMass, Fairfield",wyndeaj01,,,
A.W. Holt,,1971.0,1971.0,F,6-7,210.0,"August 26, 1946",Jackson State University,holtaw01,,,
AJ Griffin,Unknown,2023.0,2024.0,F,6-6,222.0,"August 25, 2003",Duke,griffaj01,2022.0,1.0,16.0
AJ Johnson,Milwaukee Bucks,2025.0,2025.0,G,6-4,160.0,"December 1, 2004",,johnsaj01,2024.0,1.0,23.0
Aaron Brooks,Unknown,2008.0,2018.0,G,6-0,161.0,"January 14, 1985",Oregon,brookaa01,2007.0,1.0,26.0
Aaron Gordon,Denver Nuggets,2015.0,2025.0,F,6-8,235.0,"September 16, 1995",Arizona,gordoaa01,2014.0,1.0,4.0
Aaron Gray,Unknown,2008.0,2014.0,C,7-0,270.0,"December 7, 1984",Pitt,grayaa01,2007.0,2.0,49.0
Aaron Harrison,,2016.0,2018.0,G,6-6,210.0,"October 28, 1994",Kentucky,harriaa01,,,
Aaron Henry,,2022.0,2022.0,F,6-6,210.0,"August 30, 1999",Michigan State,henryaa01,,,
Aaron Holiday,Houston Rockets,2019.0,2025.0,G,6-0,185.0,"September 30, 1996",UCLA,holidaa01,2018.0,1.0,23.0
Aaron Jackson,,2018.0,2018.0,G,6-4,185.0,"May 6, 1986",Duquesne,jacksaa01,,,
Aaron James,Unknown,1975.0,1979.0,F,6-8,210.0,"October 5, 1952",Grambling State University,jamesaa01,1974.0,1.0,28.0
Aaron McKie,Unknown,1995.0,2007.0,G-F,6-5,209.0,"October 2, 1972",Temple,mckieaa01,1994.0,1.0,17.0
Aaron Miles,,2006.0,2006.0,G,6-1,175.0,"April 13, 1983",Kansas,milesaa01,,,
Aaron Nesmith,Indiana Pacers,2021.0,2025.0,G-F,6-5,215.0,"October 16, 1999",Vanderbilt,nesmiaa01,2020.0,1.0,14.0
Aaron Swinson,,1995.0,1995.0,F,6-5,230.0,"January 9, 1971",Auburn,swinsaa01,,,
Aaron Wiggins,Oklahoma City Thunder,2022.0,2025.0,G,6-6,200.0,"January 2, 1999",Maryland,wiggiaa01,2021.0,2.0,55.0
Aaron Williams,,1994.0,2008.0,F-C,6-9,220.0,"October 2, 1971",Xavier,williaa01,,,
Abdel Nader,Unknown,2018.0,2022.0,F,6-5,225.0,"September 25, 1993","Northern Illinois, Iowa State",naderab01,2016.0,2.0,58.0
Abdul Jeelani,Unknown,1980.0,1981.0,F-C,6-8,210.0,"February 10, 1954",University of Wisconsin-Parkside,jeelaab01,1976.0,2.0,50.0
Acie Earl,Unknown,1994.0,1997.0,F-C,6-10,240.0,"June 23, 1970",Iowa,earlac01,1993.0,1.0,19.0
Acie Law,Unknown,2008.0,2011.0,G,6-3,195.0,"January 25, 1985",Texas A&M,lawac01,2007.0,1.0,11.0
Adam Flagler,,2024.0,2025.0,G,6-3,195.0,"December 1, 1999","Presbyterian College, Baylor",flaglad01,,,
Adam Harrington,,2003.0,2003.0,G,6-5,200.0,"July 5, 1980","NC State, Auburn",harriad01,,,
Adam Keefe,Unknown,1993.0,2001.0,F,6-9,230.0,"February 22, 1970",Stanford,keefead01,1992.0,1.0,10.0
Adam Mokoka,,2020.0,2021.0,G,6-4,190.0,"July 18, 1998",,mokokad01,,,
Adam Morrison,Unknown,2007.0,2010.0,F,6-8,205.0,"July 19, 1984",Gonzaga,morriad01,2006.0,1.0,3.0
Adama Sanogo,,2024.0,2025.0,F,6-9,245.0,"February 12, 2002",UConn,sanogad01,,,
Ade Murkey,,2022.0,2022.0,G,6-5,200.0,"January 29, 1998",Denver,murkead01,,,
Adem Bona,Philadelphia 76ers,2025.0,2025.0,F-C,6-10,235.0,"March 28, 2003",UCLA,bonaad01,2024.0,2.0,41.0
Admiral Schofield,Unknown,2020.0,2024.0,G-F,6-5,241.0,"March 30, 1997",Tennessee,schofad01,2019.0,2.0,42.0
Adonal Foyle,Unknown,1998.0,2009.0,C,6-10,250.0,"March 9, 1975",Colgate,foylead01,1997.0,1.0,8.0
Adonis Jordan,Unknown,1994.0,1999.0,G,5-11,170.0,"August 21, 1970",Kansas,jordaad01,1993.0,2.0,42.0
Adonis Thomas,,2014.0,2014.0,F,6-7,200.0,"March 25, 1993",Memphis,thomaad01,,,
Adreian Payne,Unknown,2015.0,2018.0,F-C,6-10,237.0,"February 19, 1991",Michigan State,paynead01,2014.0,1.0,15.0
Adrian Branch,Unknown,1987.0,1990.0,F-G,6-7,185.0,"November 17, 1963",Maryland,brancad01,1985.0,2.0,46.0
Adrian Caldwell,,1990.0,1998.0,F-C,6-8,265.0,"July 4, 1966","SMU, Lamar",caldwad01,,,
Adrian Dantley,Unknown,1977.0,1991.0,F-G,6-5,208.0,"February 28, 1955",Notre Dame,dantlad01,1976.0,1.0,6.0
Adrian Griffin,,2000.0,2008.0,G-F,6-5,217.0,"July 4, 1974",Seton Hall,griffad01,,,
Adrian Smith,Unknown,1962.0,1972.0,G,6-1,180.0,"October 5, 1936","Northeast Mississippi Community College, Kentucky",smithad01,1958.0,2.0,86.0
Ahmad Caver,,2022.0,2022.0,G,6-2,175.0,"September 12, 1996",Old Dominion,caverah01,,,
Ajay Mitchell,Oklahoma City Thunder,2025.0,2025.0,G,6-5,200.0,"June 25, 2002",UC Santa Barbara,mitchaj01,2024.0,2.0,38.0
