,Season,Player,Team,Award
0,2023-24,Nikola Jokić,,All-NBA
1,2023-24,Giannis Antetokounmpo,,All-NBA
2,2023-24,Jayson Tatum,,All-NBA
3,2023-24,Luka Dončić,,All-NBA
4,2023-24,Shai Gilgeous-Alexander,,All-NBA
5,2022-23,Joel Embiid,,All-NBA
6,2022-23,Giannis Antetokounmpo,,All-NBA
7,2022-23,Jayson Tatum,,All-NBA
8,2022-23,Luka Dončić,,All-NBA
9,2022-23,Shai Gilgeous-Alexander,,All-NBA
10,2021-22,Nikola Jokić,,All-NBA
11,2021-22,Giannis Antetokounmpo,,All-NBA
12,2021-22,Jayson Tatum,,All-NBA
13,2021-22,Luka Dončić,,All-NBA
14,2021-22,Devin Booker,,All-NBA
15,2020-21,Nikola Jokić,,All-NBA
16,2020-21,Giannis Antetokounmpo,,All-NBA
17,2020-21,Kawhi Leonard,,All-NBA
18,2020-21,Stephen Curry,,All-NBA
19,2020-21,Luka Dončić,,All-NBA
20,2019-20,Anthony Davis,,All-NBA
21,2019-20,Giannis Antetokounmpo,,All-NBA
22,2019-20,LeBron James,,All-NBA
23,2019-20,James Harden,,All-NBA
24,2019-20,Luka Dončić,,All-NBA
25,2018-19,Nikola Jokić,,All-NBA
26,2018-19,Giannis Antetokounmpo,,All-NBA
27,2018-19,Paul George,,All-NBA
28,2018-19,James Harden,,All-NBA
29,2018-19,Stephen Curry,,All-NBA
30,2017-18,Anthony Davis,,All-NBA
31,2017-18,LeBron James,,All-NBA
32,2017-18,Kevin Durant,,All-NBA
33,2017-18,Damian Lillard,,All-NBA
34,2017-18,James Harden,,All-NBA
35,2016-17,Anthony Davis,,All-NBA
36,2016-17,LeBron James,,All-NBA
37,2016-17,Kawhi Leonard,,All-NBA
38,2016-17,James Harden,,All-NBA
39,2016-17,Russell Westbrook,,All-NBA
40,2015-16,DeAndre Jordan,,All-NBA
41,2015-16,LeBron James,,All-NBA
42,2015-16,Kawhi Leonard,,All-NBA
43,2015-16,Stephen Curry,,All-NBA
44,2015-16,Russell Westbrook,,All-NBA
45,2014-15,Marc Gasol,,All-NBA
46,2014-15,LeBron James,,All-NBA
47,2014-15,Anthony Davis,,All-NBA
48,2014-15,Stephen Curry,,All-NBA
49,2014-15,James Harden,,All-NBA
50,2013-14,Joakim Noah,,All-NBA
51,2013-14,Kevin Durant,,All-NBA
52,2013-14,LeBron James,,All-NBA
53,2013-14,James Harden,,All-NBA
54,2013-14,Chris Paul,,All-NBA
55,2012-13,Tim Duncan,,All-NBA
56,2012-13,Kevin Durant,,All-NBA
57,2012-13,LeBron James,,All-NBA
58,2012-13,Kobe Bryant,,All-NBA
59,2012-13,Chris Paul,,All-NBA
60,2011-12,Dwight Howard,,All-NBA
61,2011-12,Kevin Durant,,All-NBA
62,2011-12,LeBron James,,All-NBA
