Player,Player_id,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
A.C. Green,greenac01,1278,9.6,7.4,1.1,49.4,25.4,73.4,50.1,14.4,99.5
A.J. Bramlett,bramlaj01,8,1.0,2.8,0.0,19.0,-,-,19.0,-0.4,-0.2
A.J. English,engliaj01,151,9.9,2.1,2.1,43.5,13.8,77.8,43.8,11.6,1.1
A.J. Green,greenaj01,132,5.5,1.5,0.8,43.2,42.2,89.5,61.4,10.5,3.6
A.J. Guyton,guytoaj01,80,5.5,1.0,1.8,37.7,37.8,82.2,46.0,10.9,0.3
A.J. Hammons,hammoaj01,22,2.2,1.6,0.2,40.5,50.0,45.0,46.4,8.4,0.0
A.J. Lawson,lawsoaj01,61,3.3,1.2,0.4,46.2,31.3,52.9,53.5,12.1,0.4
A.J. Price,priceaj01,261,5.8,1.4,2.2,38.0,31.6,74.2,45.6,12.2,4.7
A.J. Wynder,wyndeaj01,6,2.0,0.5,1.3,25.0,0.0,75.0,25.0,7.6,0.0
A.W. Holt,holtaw01,6,0.7,0.7,0.0,12.5,,66.7,,-1.8,-0.1
AJ Griffin,griffaj01,92,7.5,1.9,0.8,44.7,37.2,89.8,54.0,11.3,1.8
AJ Johnson,johnsaj01,7,2.9,1.0,1.0,42.1,60.0,50.0,50.0,10.8,0.0
Aaron Brooks,brookaa01,645,9.7,1.7,3.0,41.3,37.0,83.7,48.8,13.3,19.2
Aaron Gordon,gordoaa01,697,13.4,6.3,2.7,48.2,32.6,68.7,53.1,15.8,44.5
Aaron Gray,grayaa01,318,3.4,3.7,0.7,50.9,0.0,56.2,50.9,11.5,6.2
Aaron Harrison,harriaa01,35,2.3,1.2,0.5,26.1,21.8,61.3,32.6,4.5,-0.1
Aaron Henry,henryaa01,6,0.3,0.2,0.0,20.0,0.0,-,20.0,-7.4,-0.1
Aaron Holiday,holidaa01,421,6.4,1.6,2.0,41.9,37.9,85.6,50.1,11.1,9.1
Aaron Jackson,jacksaa01,1,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0
Aaron James,jamesaa01,356,10.8,4.1,1.0,48.1,,76.0,,13.6,13.1
Aaron McKie,mckieaa01,793,7.4,3.3,2.7,43.8,35.0,77.9,47.5,12.8,40.0
Aaron Miles,milesaa01,19,0.8,0.7,1.3,33.3,-,100.0,33.3,6.0,0.0
Aaron Nesmith,nesmiaa01,256,8.4,3.2,1.0,45.5,37.7,81.3,55.8,11.0,8.2
Aaron Swinson,swinsaa01,9,2.7,0.9,0.3,55.6,-,80.0,55.6,11.7,0.0
Aaron Wiggins,wiggiaa01,246,7.8,3.0,1.3,50.8,38.4,78.6,58.2,13.2,10.6
Aaron Williams,williaa01,715,5.8,3.9,0.7,49.3,6.3,74.0,49.3,13.9,28.7
Abdel Nader,naderab01,202,4.6,1.9,0.5,42.8,35.7,71.8,50.8,9.3,2.8
Abdul Jeelani,jeelaab01,143,9.0,3.5,1.1,47.3,0.0,80.2,47.3,17.2,5.4
Acie Earl,earlac01,193,5.1,2.7,0.3,40.3,0.0,66.7,40.3,10.6,0.3
Acie Law,lawac01,188,3.9,1.0,1.6,41.3,23.5,77.8,43.4,9.9,1.6
Adam Flagler,flaglad01,19,1.1,0.4,0.2,14.0,14.3,-,20.0,-4.9,-0.4
Adam Harrington,harriad01,19,1.6,0.4,0.6,29.7,35.7,75.0,36.5,7.4,0.0
Adam Keefe,keefead01,617,5.0,4.1,0.7,50.2,7.1,71.4,50.2,12.9,24.9
Adam Mokoka,mokokad01,25,1.9,0.6,0.4,40.4,28.0,40.0,47.9,6.2,0.0
Adam Morrison,morriad01,161,7.5,2.1,1.4,37.3,33.1,71.0,42.3,7.4,-1.4
Adama Sanogo,sanogad01,13,3.4,3.2,0.1,52.9,-,66.7,52.9,20.3,0.2
Ade Murkey,murkead01,1,0.0,0.0,0.0,-,-,-,-,0.0,0.0
