Season,Player,Tm,Award,Player_id
,A.C. Green,,NBA Champion,greenac01
,A.C. Green,,NBA Champion,greenac01
,A.C. Green,,NBA Champion,greenac01
,Aaron Gordon,,NBA Champion,gordoaa01
,Adam Morrison,,NBA Champion,morriad01
,Adam Morrison,,NBA Champion,morriad01
,Adrian Branch,,NBA Champion,brancad01
,Al Horford,,NBA Champion,horfoal01
,Alex Caruso,,NBA Champion,carusal01
,Alonzo Mourning,,NBA Champion,mournal01
,Andre Iguodala,,NBA Champion,iguodan01
,Andre Iguodala,,NBA Champion,iguodan01
,Andre Iguodala,,NBA Champion,iguodan01
,Andre Iguodala,,NBA Champion,iguodan01
,Andrew Bogut,,NBA Champion,bogutan01
,Andrew Bynum,,NBA Champion,bynuman01
,Andrew Bynum,,NBA Champion,bynuman01
,Andrew Gaze,,NBA Champion,gazean01
,Andrew Toney,,NBA Champion,toneyan01
,Andrew Wiggins,,NBA Champion,wiggian01
,Andy Phillip,,NBA Champion,phillan01
,Anthony Davis,,NBA Champion,davisan02
,Antoine Walker,,NBA Champion,walkean02
,Antonio Daniels,,NBA Champion,daniean01
,Arnie Ferrin,,NBA Champion,ferriar01
,Arnie Ferrin,,NBA Champion,ferriar01
,Arnie Johnson,,NBA Champion,johnsar01
,Arnie Risen,,NBA Champion,risenar01
,Arnie Risen,,NBA Champion,risenar01
,Aron Baynes,,NBA Champion,baynear01
,Art Williams,,NBA Champion,williar01
,Austin Daye,,NBA Champion,dayeau01
,Avery Johnson,,NBA Champion,johnsav01
,Axel Toupane,,NBA Champion,toupaax01
,B.J. Armstrong,,NBA Champion,armstbj01
,B.J. Armstrong,,NBA Champion,armstbj01
,B.J. Armstrong,,NBA Champion,armstbj01
,Bailey Howell,,NBA Champion,howelba01
,Bailey Howell,,NBA Champion,howelba01
,Ben Wallace,,NBA Champion,wallabe01
,Bennie Swain,,NBA Champion,swainbe01
,Beno Udrih,,NBA Champion,udrihbe01
,Beno Udrih,,NBA Champion,udrihbe01
,Bill Bradley,,NBA Champion,bradlbi01
,Bill Bradley,,NBA Champion,bradlbi01
,Bill Bridges,,NBA Champion,bridgbi01
,Bill Calhoun,,NBA Champion,calhobi01
,Bill Cartwright,,NBA Champion,cartwbi01
,Bill Cartwright,,NBA Champion,cartwbi01
,Bill Cartwright,,NBA Champion,cartwbi01
,Bill Hosket,,NBA Champion,hoskebi01
,Bill Laimbeer,,NBA Champion,laimbbi01
,Bill Laimbeer,,NBA Champion,laimbbi01
,Bill Melchionni,,NBA Champion,melchbi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Russell,,NBA Champion,russebi01
,Bill Sharman,,NBA Champion,sharmbi01
,Bill Sharman,,NBA Champion,sharmbi01
,Bill Sharman,,NBA Champion,sharmbi01
,Bill Sharman,,NBA Champion,sharmbi01
,Bill Walton,,NBA Champion,waltobi01
,Bill Walton,,NBA Champion,waltobi01
,Bill Wennington,,NBA Champion,wennibi01
,Bill Wennington,,NBA Champion,wennibi01
,Bill Wennington,,NBA Champion,wennibi01
,Billy Cunningham,,NBA Champion,cunnibi01
,Billy Hassett,,NBA Champion,hassebi01
,Billy Kenville,,NBA Champion,kenvibi01
,Billy Thompson,,NBA Champion,thompbi01
,Bison Dele,,NBA Champion,delebi01
,Bob Boozer,,NBA Champion,boozebo01
,Bob Cousy,,NBA Champion,cousybo01
,Bob Cousy,,NBA Champion,cousybo01
,Bob Cousy,,NBA Champion,cousybo01
,Bob Cousy,,NBA Champion,cousybo01
,Bob Cousy,,NBA Champion,cousybo01
,Bob Cousy,,NBA Champion,cousybo01
,Bob Dandridge,,NBA Champion,dandrbo01
,Bob Dandridge,,NBA Champion,dandrbo01
,Bob Davies,,NBA Champion,daviebo01
,Bob Greacen,,NBA Champion,greacbo01
,Bob Gross,,NBA Champion,grossbo01
,Bob Hansen,,NBA Champion,hansebo01
,Bob Harrison,,NBA Champion,harribo02
,Bob Harrison,,NBA Champion,harribo02
,Bob Harrison,,NBA Champion,harribo02
,Bob McAdoo,,NBA Champion,mcadobo01
,Bob McAdoo,,NBA Champion,mcadobo01
,Bob Pettit,,NBA Champion,pettibo01
,Bob Weiss,,NBA Champion,weissbo01
,Bobby Jones,,NBA Champion,jonesbo01
,Bobby Portis,,NBA Champion,portibo01
,Bobby Wanzer,,NBA Champion,wanzebo01
,Boris Diaw,,NBA Champion,diawbo01
,Brad Holland,,NBA Champion,hollabr01
,Brandon Rush,,NBA Champion,rushbr01
,Brandon Williams,,NBA Champion,willibr01
,Brendan Haywood,,NBA Champion,haywobr01
,Brent Barry,,NBA Champion,barrybr01
,Brent Barry,,NBA Champion,barrybr01
,Brian Cardinal,,NBA Champion,cardibr01
,Brian Scalabrine,,NBA Champion,scalabr01
,Brian Shaw,,NBA Champion,shawbr01
,Brian Shaw,,NBA Champion,shawbr01
,Brian Shaw,,NBA Champion,shawbr01
,Brook Lopez,,NBA Champion,lopezbr01
,Bruce Bowen,,NBA Champion,bowenbr01
,Bruce Bowen,,NBA Champion,bowenbr01
,Bruce Bowen,,NBA Champion,bowenbr01
,Bruce Brown,,NBA Champion,brownbr01
,Bryn Forbes,,NBA Champion,forbebr01
,Bud Grant,,NBA Champion,grantbu01
,Butch Beard,,NBA Champion,beardbu01
,Butch Lee,,NBA Champion,leebu01
,Byron Scott,,NBA Champion,scottby01
,Byron Scott,,NBA Champion,scottby01
,Byron Scott,,NBA Champion,scottby01
,Carl Braun,,NBA Champion,braunca01
,Carl Herrera,,NBA Champion,herreca01
,Carl Herrera,,NBA Champion,herreca01
,Carlos Clark,,NBA Champion,clarkca01
,Caron Butler,,NBA Champion,butleca01
,Cazzie Russell,,NBA Champion,russeca01
,Cedric Maxwell,,NBA Champion,maxwece01
,Cedric Maxwell,,NBA Champion,maxwece01
,Channing Frye,,NBA Champion,fryech01
,Charles Dudley,,NBA Champion,dudlech01
,Charles Johnson,,NBA Champion,johnsch01
,Charles Johnson,,NBA Champion,johnsch01
,Charles Jones,,NBA Champion,jonesch01
,Charlie Scott,,NBA Champion,scottch01
,Chauncey Billups,,NBA Champion,billuch01
,Chet Walker,,NBA Champion,walkech01
,Chris Andersen,,NBA Champion,anderch01
,Chris Bosh,,NBA Champion,boshch01
,Chris Bosh,,NBA Champion,boshch01
,Chris Boucher,,NBA Champion,bouchch01
,Chris Boucher,,NBA Champion,bouchch01
,Chris Chiozza,,NBA Champion,chiozch01
,Chris Ford,,NBA Champion,fordch01
,Chris Jent,,NBA Champion,jentch01
,Christian Braun,,NBA Champion,braunch01
,Chuck Nevitt,,NBA Champion,nevitch01
,Chuck Share,,NBA Champion,sharech01
,Chucky Brown,,NBA Champion,brownch01
,Clay Johnson,,NBA Champion,johnscl02
,Clemon Johnson,,NBA Champion,johnscl01
,Cliff Hagan,,NBA Champion,hagancl01
,Cliff Levingston,,NBA Champion,levincl01
,Cliff Levingston,,NBA Champion,levincl01
,Clifford Ray,,NBA Champion,raycl01
,Clint Richardson,,NBA Champion,richacl01
,Clyde Drexler,,NBA Champion,drexlcl01
,Clyde Lovellette,,NBA Champion,lovelcl01
,Clyde Lovellette,,NBA Champion,lovelcl01
,Clyde Lovellette,,NBA Champion,lovelcl01
,Collin Gillespie,,NBA Champion,gilleco01
,Corey Brewer,,NBA Champion,breweco01
,Corey Williams,,NBA Champion,willico01
,Corky Calhoun,,NBA Champion,calhoco01
,Corliss Williamson,,NBA Champion,willico02
