Player,draft_year,draft_round,draft_number
Tom Gola,1955,1,3
Dick Garmaker,1955,1,6
Dick Ricketts,1955,1,1
Maurice Stokes,1955,1,2
Jim Loscutoff,1955,1,4
Kenny Sears,1955,1,5
Ed Conlin,1955,1,7
Johnny Horan,1955,1,8
Jack Stephens,1955,1,9
Jack Twyman,1955,1,10
Corky Devlin,1955,1,11
Dick Hemric,1955,1,12
Jerry Mullen,1955,1,13
Chuck Mencel,1955,1,14
Jesse Arnelle,1955,1,15
Don Schlundt,1955,1,16
Al Ferrari,1955,1,17
Ed Fleming,1955,1,18
Bob Schafer,1955,1,19
Buzz Wilkinson,1955,1,20
Guy Sparrow,1955,1,21
Dick Boushka,1955,1,22
Jack Sallee,1955,1,23
Ron Bennink,1955,1,24
Burdette Haldorson,1955,1,25
Bob McKeen,1955,1,26
Ed Wiener,1955,1,27
Bart Leach,1955,1,28
Ed Cole,1955,1,29
John Miller,1955,1,30
Dick Howard,1955,2,31
Frank Ehmann,1955,2,32
Bill Bagley,1955,2,33
Bill Evans,1955,2,34
Jack Devine,1955,2,35
Bob Patterson,1955,2,36
Denver Brackeen,1955,2,37
Bill Banks,1955,2,38
Mal Duffy,1955,2,39
Cleo Littleton,1955,2,40
Harvey Babetch,1955,2,41
Bob Armstrong,1955,2,42
George Swyers,1955,2,43
John Mahoney,1955,2,44
Howard Sessums,1955,2,45
O'Neal Weaver,1955,2,46
Bob Reiter,1955,2,47
Ron Tomsic,1955,2,48
Joe Fitt,1955,2,49
Jim McConnell,1955,2,50
Harry Silcox,1955,2,51
John Moore,1955,2,52
Jim Fay,1955,2,53
Don Bragg,1955,2,54
Ed Galvin,1955,2,55
Tom Harrold,1955,2,56
Bill Reigel,1955,2,57
Tony Vlastelica,1955,2,58
Al Didriksen,1955,2,59
Dean Parsons,1955,2,60
Jack Beck,1955,2,61
Don Boldebuck,1955,2,62
Don Belcher,1955,2,63
Cliff Dwyer,1955,2,64
Lynn Cole,1955,2,65
Jerry Jung,1955,2,66
Lester Lane,1955,2,67
Nick Romanoff,1955,2,68
Don Payne,1955,2,69
Bill Warden,1955,2,70
Marty Satalino,1955,2,71
Tom Mixon,1955,2,72
Dick Cable,1955,2,73
Harry Jorgensen,1955,2,74
Jerry Koch,1955,2,75
Jim Ahearn,1955,2,76
Wally McCarvill,1955,2,77
Jim Scott,1955,2,78
Charlie Mock,1955,2,79
Russ Lawler,1955,2,80
Ed O'Connor,1955,2,81
Art Quimby,1955,2,82
Carl Hartman,1955,2,83
Charles Stickels,1955,2,84
K.C. Jones,1955,2,85
Stan Glowaski,1955,2,86
Happy Mahfouz,1955,2,87
Charles Hoxie,1955,2,88
John Prudhoe,1955,2,89
Mark Davis,1955,2,90
Mickey Harrington,1955,2,91
Ray Warren,1955,2,92
Dick Welsh,1955,2,93
Henry Dooley,1955,2,94
Bob Scudellari,1955,2,95
Tom Heinsohn,1956,1,6
Si Green,1956,1,1
Bill Russell,1956,1,2
Jim Paxson,1956,1,3
Ron Shavlik,1956,1,4
Joe Holup,1956,1,5
Ron Sobie,1956,1,7
Hal Lear,1956,1,8
Bob Burrow,1956,1,9
Willie Naulls,1956,1,10
Terry Rand,1956,1,11
Gary Bergen,1956,1,12
Paul Judson,1956,1,13
K.C. Jones,1956,1,14
Bob Kessler,1956,1,15
Phil Rollins,1956,1,16
Dave Piontek,1956,1,17
Darrell Floyd,1956,1,18
Jerry Bird,1956,1,19
Jerry Harper,1956,1,20
Forest Able,1956,1,21
George Linn,1956,1,22
Bill Thieben,1956,1,23
Bevo Francis,1956,1,24
Johnny McCarthy,1956,1,25
Robin Freeman,1956,1,26
Lloyd Aubrey,1956,1,27
Ronnie Mayer,1956,1,28
Swede Halbrook,1956,1,29
Dan Swartz,1956,1,30
Charles Slack,1956,2,31
Phil Wheeler,1956,2,32
Bill Uhl,1956,2,33
Norm Stewart,1956,2,34
Bill Reigel,1956,2,35
Joe Sexson,1956,2,36
Jim Ray,1956,2,37
Bill Logan,1956,2,38
Joe Liebler,1956,2,39
Joe Belmont,1956,2,40
Kevin Thomas,1956,2,41
Dave Plunkett,1956,2,42
Phil Jordon,1956,2,43
Pat Dunn,1956,2,44
Jim McLaughlin,1956,2,45
Don Boldebuck,1956,2,46
Paul Schlimm,1956,2,47
Mickey Winograd,1956,2,48
Carl Cain,1956,2,49
Julius McCoy,1956,2,50
John Barber,1956,2,51
Jack Adams,1956,2,52
Les Roh,1956,2,53
O'Neal Weaver,1956,2,54
Bruce Harris,1956,2,55
John Fannon,1956,2,56
Clayton Carter,1956,2,57
Morris Taft,1956,2,58
Sam Jones,1956,2,59
Art Bunte,1956,2,60
Chester Webb,1956,2,61
Vic Molodet,1956,2,62
Max Anderson,1956,2,63
Dan Mannix,1956,2,64
Jim Reed,1956,2,65
Jim Springer,1956,2,66
Dick Miller,1956,2,67
Dick Julio,1956,2,68
Jim Houston,1956,2,69
Ronald Clark,1956,2,70
Jerry Moreman,1956,2,71
Herschel Pedersen,1956,2,72
Phil Grawemeyer,1956,2,73
Howie Crittenden,1956,2,74
Bob Hopkins,1956,2,75
Theophilus Lloyd,1956,2,76
Gene Carpenter,1956,2,77
Wally Choice,1956,2,78
Robert Hodgson,1956,2,79
Dick Miani,1956,2,80
Willie Bergines,1956,2,81
Ed Huse,1956,2,82
Carl Widseth,1956,2,83
Ed Petrie,1956,2,84
Dick Kenyon,1956,2,85
Arthur Helms,1956,2,86
John Patzwald,1956,2,87
Toby Roybal,1956,2,88
Milt Graham,1956,2,89
Junior Morgan,1956,2,90
Elgin Baylor,1956,2,91
Chuck Rolles,1956,2,92
Hot Rod Hundley,1957,1,1
Charlie Tyra,1957,1,2
Jim Krebs,1957,1,3
Win Wilfong,1957,1,4
Brendan McCann,1957,1,5
Lennie Rosenbluth,1957,1,6
George Bon Salle,1957,1,7
Sam Jones,1957,1,8
Dick Duckett,1957,1,9
Bob McCoy,1957,1,10
Harvey Schmidt,1957,1,11
Jim Palmer,1957,1,12
Larry Friend,1957,1,13
Jack Sullivan,1957,1,14
Jim Morgan,1957,1,15
Dick O'Neal,1957,1,16
Jerry Paulson,1957,1,17
Bill Ebben,1957,1,18
Jim Spivey,1957,1,19
John Smyth,1957,1,20
Gary Clark,1957,1,21
Angelo Lombardo,1957,1,22
Vince Cohen,1957,1,23
Chuck Schramm,1957,1,24
Jed Dommeyer,1957,1,25
Kurt Engelbert,1957,1,26
George Brown,1957,1,27
Hank Nowak,1957,1,28
Rayford Wells,1957,1,29
Ray Radziszewski,1957,1,30
Jerry Mallett,1957,2,31
Jim Ashmore,1957,2,32
Stuart Murray,1957,2,33
Ron Kramer,1957,2,34
Gary Thompson,1957,2,35
Al Rochelle,1957,2,36
Lee Marshall,1957,2,37
Jim Radcliffe,1957,2,38
Frank Nimmo,1957,2,39
Grady Wallace,1957,2,40
John Maglio,1957,2,41
Walt Adamushko,1957,2,42
Phil Murrell,1957,2,43
Raymond Downs,1957,2,44
Jim Humphrey,1957,2,45
Alonzo Lewis,1957,2,46
Lyndon Lee,1957,2,47
Maurice King,1957,2,48
Chet Forte,1957,2,49
Carl Boldt,1957,2,50
George Ferguson,1957,2,51
Mason Cope,1957,2,52
Max Jameson,1957,2,53
Dick Gaines,1957,2,54
Dick Brott,1957,2,55
Bob Daniels,1957,2,56
Doug Bolstorff,1957,2,57
Jon Haaven,1957,2,58
Bill Darragh,1957,2,59
Woody Sauldsberry,1957,2,60
Cebe Price,1957,2,61
Bill Von Weyhe,1957,2,62
Dick Heise,1957,2,63
Bob Lazor,1957,2,64
Jim Sutton,1957,2,65
Calvin Grosscup,1957,2,66
Steve Hamilton,1957,2,67
Jim Brown,1957,2,68
Joe Gibbon,1957,2,69
Mel Wright,1957,2,70
Gordon Fosness,1957,2,71
Bobby Mills,1957,2,72
Gerry Calvert,1957,2,73
Jack Nichols,1957,2,74
Jack Butcher,1957,2,75
Cliff Hafer,1957,2,76
Gerald Dreier,1957,2,77
J.C. Gipson,1957,2,78
Dick Neal,1957,2,79
Jim Boothe,1957,2,80
Bob Seitz,1957,2,81
Jim Weeks,1957,2,82
Don Tobin,1957,2,83
Ted Romanoff,1957,2,84
Lavelle Langston,1957,2,85
Guy Rodgers,1958,1,5
Elgin Baylor,1958,1,1
Archie Dees,1958,1,2
Mike Farmer,1958,1,3
Pete Brennan,1958,1,4
Connie Dierking,1958,1,6
Dave Gambee,1958,1,7
Bennie Swain,1958,1,8
Steve Hamilton,1958,1,9
Vern Hatton,1958,1,10
Barney Cable,1958,1,11
Joe Quigg,1958,1,12
Lloyd Sharrar,1958,1,13
Hal Greer,1958,1,14
Hub Reed,1958,1,15
Jimmy Smith,1958,1,16
Boo Ellis,1958,1,17
Bucky Bockhorn,1958,1,18
Roy DeWitz,1958,1,19
John Lee,1958,1,20
Frank Howard,1958,1,21
John Nacincik,1958,1,22
Wayne Embry,1958,1,23
Jim Cunningham,1958,1,24
George Kline,1958,1,25
Phil Murrell,1958,1,26
Ralph Crosthwaite,1958,1,27
Johnny Cox,1958,1,28
Temple Tucker,1958,1,29
Tommy Kearns,1958,1,30
Julius Pegues,1958,2,31
Dom Flora,1958,2,32
Quitman Sullins,1958,2,33
Jim Fulmer,1958,2,34
Hank Morano,1958,2,35
Don Lane,1958,2,36
Don Ohl,1958,2,37
Fred Grim,1958,2,38
Rick Herrscher,1958,2,39
Gene Brown,1958,2,40
Al Inniss,1958,2,41
Jim McClellan,1958,2,42
Shellie McMillon,1958,2,43
Joe King,1958,2,44
Bucky Allen,1958,2,45
Jack Mimlitz,1958,2,46
John Crawford,1958,2,47
Dave Keleher,1958,2,48
Jim Bond,1958,2,49
Wayne Stevens,1958,2,50
Ed Blair,1958,2,51
Owen Lawson,1958,2,52
Jay Norman,1958,2,53
Pete Tillotson,1958,2,54
Ken Sidle,1958,2,55
Rudy Finderson,1958,2,56
Ed Brinkley,1958,2,57
Bob Mantz,1958,2,58
Jack Quiggle,1958,2,59
Milt Kane,1958,2,60
Tom Brennan,1958,2,61
Ruell Tucker,1958,2,62
Bruno Boin,1958,2,63
Joe Hobbs,1958,2,64
Larry Staverman,1958,2,65
Harry Marske,1958,2,66
John McCarthy,1958,2,67
Nick Davis,1958,2,68
Tink Van Patton,1958,2,69
Shorty Patterson,1958,2,70
Jack Parr,1958,2,71
Pete Gaudin,1958,2,72
Larry Hedden,1958,2,73
Al Purcell,1958,2,74
Hal Duffy,1958,2,75
Frank Tartaron,1958,2,76
Herb Merritt,1958,2,77
Don Klein,1958,2,78
Gary Simmons,1958,2,79
Don Medsker,1958,2,80
Jim Dew,1958,2,81
Joe Buckhalter,1958,2,82
Gary Alcorn,1958,2,83
Jerry DuPont,1958,2,84
Jim Newcome,1958,2,85
Adrian Smith,1958,2,86
Jack McCarthy,1958,2,87
John Powell,1958,2,88
Wilt Chamberlain,1959,1,3
Bob Ferry,1959,1,7
Bob Boozer,1959,1,1
Bailey Howell,1959,1,2
Tom Hawkins,1959,1,4
Dick Barnett,1959,1,5
Johnny Green,1959,1,6
John Richter,1959,1,8
Tom Robitaille,1959,1,9
Don Goldstein,1959,1,10
Joe Ruklick,1959,1,11
Rudy LaRusso,1959,1,12
Gene Tormohlen,1959,1,13
Alan Seiden,1959,1,14
Cal Ramsey,1959,1,15
Gene Guarilia,1959,1,16
Mike Mendenhall,1959,1,17
Gary Alcorn,1959,1,18
Jim Hockaday,1959,1,19
Bobby Smith,1959,1,20
Jon Cincebox,1959,1,21
Bob Anderegg,1959,1,22
Hank Stein,1959,1,23
Ralph Crosthwaite,1959,1,24
Leo Byrd,1959,1,25
George Lee,1959,1,26
Ron Stevenson,1959,1,27
Wilson Eison,1959,1,28
Paul Neumann,1959,1,29
Johnny Cox,1959,1,30
Lee Harman,1959,2,31
Ed Kazakavich,1959,2,32
Harry Kirchner,1959,2,33
Tony Windis,1959,2,34
Bill Telasky,1959,2,35
Bobby Joe Mason,1959,2,36
Roger Taylor,1959,2,37
Herb Busch,1959,2,38
