,Player,Team
0,A.C. Green,Unknown
1,A.J. Bramlett,Unknown
2,A.J. English,Unknown
3,A.J. Green,Milwaukee Bucks
4,A.J. Guyton,Unknown
5,A.J. Hammons,Unknown
6,A.J. Lawson,Toronto Raptors
7,A.J. Price,Unknown
8,A.J. Wynder,Unknown
9,A.W. Holt,Unknown
10,AJ Griffin,Unknown
11,AJ Johnson,Milwaukee Bucks
12,Aaron Brooks,Unknown
13,Aaron Gordon,Denver Nuggets
14,Aaron Gray,Unknown
15,Aaron Harrison,Unknown
16,Aaron Henry,Unknown
17,Aaron Holiday,Houston Rockets
18,Aaron Jackson,Unknown
19,Aaron James,Unknown
20,Aaron McKie,Unknown
21,Aaron Miles,Unknown
22,Aaron Nesmith,Indiana Pacers
23,Aaron Swinson,Unknown
24,Aaron Wiggins,Oklahoma City Thunder
25,Aaron Williams,Unknown
26,Abdel Nader,Unknown
27,Abdul Jeelani,Unknown
28,Acie Earl,Unknown
29,Acie Law,Unknown
30,Adam Flagler,Oklahoma City Thunder
31,Adam Harrington,Unknown
32,Adam Keefe,Unknown
33,Adam Mokoka,Unknown
34,Adam Morrison,Unknown
35,Adama Sanogo,Chicago Bulls
36,Ade Murkey,Unknown
37,Adem Bona,Philadelphia 76ers
38,Admiral Schofield,Unknown
39,Adonal Foyle,Unknown
40,Adonis Jordan,Unknown
41,Adonis Thomas,Unknown
42,Adreian Payne,Unknown
43,Adrian Branch,Unknown
44,Adrian Caldwell,Unknown
45,Adrian Dantley,Unknown
46,Adrian Griffin,Unknown
47,Adrian Smith,Unknown
48,Ahmad Caver,Unknown
49,Ajay Mitchell,Oklahoma City Thunder
50,Al Attles,Unknown
51,Al Beard,Unknown
52,Al Bianchi,Unknown
53,Al Brightman,Unknown
54,Al Butler,Unknown
55,Al Carlson,Unknown
56,Al Cervi,Unknown
57,Al Cueto,Unknown
58,Al Eberhard,Unknown
59,Al Ferrari,Unknown
60,Al Fleming,Unknown
61,Al Guokas,Unknown
62,Al Hairston,Unknown
63,Al Harrington,Unknown
64,Al Henry,Unknown
65,Al Horford,Boston Celtics
66,Al Jackson,Unknown
67,Al Jefferson,Unknown
68,Al Lucas,Unknown
69,Al Lujack,Unknown
70,Al Masino,Unknown
71,Al McGuire,Unknown
72,Al Miksis,Unknown
73,Al Negratti,Unknown
74,Al Roges,Unknown
75,Al Salvadori,Unknown
76,Al Sanders,Unknown
77,Al Skinner,Unknown
78,Al Smith,Unknown
79,Al Thornton,Unknown
80,Al Tucker,Unknown
81,Al Williams,Unknown
82,Al Wood,Unknown
83,Al-Farouq Aminu,Unknown
84,Alaa Abdelnaby,Unknown
85,Alan Anderson,Unknown
86,Alan Hardy,Unknown
87,Alan Henderson,Unknown
88,Alan Ogg,Unknown
89,Alan Sawyer,Unknown
90,Alan Williams,Unknown
91,Alando Tucker,Unknown
92,Albert King,Unknown
93,Alec Burks,Miami Heat
94,Alec Kessler,Unknown
95,Alec Peters,Unknown
96,Aleem Ford,Unknown
97,Aleksandar Djordjevic,Unknown
98,Aleksandar Radojević,Unknown
99,Aleksej Pokusevski,Unknown
100,Alen Smailagić,Unknown
101,Alex Acker,Unknown
102,Alex Blackwell,Unknown
103,Alex Bradley,Unknown
104,Alex Caruso,Oklahoma City Thunder
105,Alex Ducas,Oklahoma City Thunder
106,Alex English,Unknown
107,Alex Fudge,Unknown
108,Alex Garcia,Unknown
109,Alex Groza,Unknown
110,Alex Hannum,Unknown
111,Alex Kirk,Unknown
112,Alex Len,Sacramento Kings
113,Alex Poythress,Unknown
114,Alex Reese,Unknown
115,Alex Sarr,Washington Wizards
116,Alex Scales,Unknown
117,Alex Stepheson,Unknown
118,Alex Stivrins,Unknown
119,Alexander Johnson,Unknown
120,Alexander Volkov,Unknown
121,Alexey Shved,Unknown
122,Alexis Ajinça,Unknown
123,Alfonzo McKinnie,Unknown
124,Alfredrick Hughes,Unknown
125,Alize Johnson,Unknown
126,Allan Bristow,Unknown
127,Allan Houston,Unknown
128,Allan Ray,Unknown
129,Allen Crabbe,Unknown
130,Allen Iverson,Unknown
131,Allen Leavell,Unknown
132,Allen Murphy,Unknown
133,Allie McGuire,Unknown
134,Allonzo Trier,Unknown
135,Alondes Williams,Unknown
