Player,Player_id,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
A.J. Green,greenaj01,41,7.8,2.3,1.3,44.4,43.5,86.7,63.3,10.2,1.7
A.J. Lawson,lawsoaj01,4,2.8,0.8,0.0,50.0,40.0,33.3,62.5,18.9,0.0
AJ Johnson,johnsaj01,7,2.9,1.0,1.0,42.1,60.0,50.0,50.0,10.8,0.0
Aaron Gordon,gordoaa01,28,12.6,4.8,2.6,52.1,41.0,79.5,58.8,15.3,1.9
Aaron Holiday,holidaa01,35,4.3,1.0,1.1,42.3,37.8,89.5,54.9,11.2,1.0
Aaron Nesmith,nesmiaa01,13,8.8,3.6,1.1,52.0,43.8,88.0,61.3,12.5,0.7
Aaron Wiggins,wiggiaa01,48,10.0,3.5,1.6,49.1,36.5,82.1,57.5,14.9,3.1
Adam Flagler,flaglad01,17,1.0,0.5,0.0,14.0,13.9,-,19.8,-5.9,-0.4
Adama Sanogo,sanogad01,4,2.0,1.5,0.3,57.1,-,-,57.1,15.3,0.0
Adem Bona,bonaad01,33,2.8,2.9,0.3,68.0,-,62.5,68.0,11.7,0.7
Ajay Mitchell,mitchaj01,34,6.4,2.0,1.7,50.6,43.1,84.8,57.2,12.4,1.6
Al Horford,horfoal01,38,7.8,5.1,1.9,41.0,35.1,87.5,53.4,11.5,2.3
Alec Burks,burksal01,25,5.6,2.0,1.0,41.3,42.9,80.8,57.2,11.9,0.9
Alex Caruso,carusal01,28,5.5,2.7,2.5,38.3,29.2,75.0,46.8,12.9,1.5
Alex Ducas,ducasal01,11,1.8,0.9,0.1,41.2,46.2,-,58.8,11.1,0.1
Alex Len,lenal01,35,1.5,1.8,0.9,53.7,16.7,53.8,54.9,13.3,0.7
Alex Reese,reeseal01,1,2.0,1.0,0.0,100.0,-,-,100.0,54.3,0.0
Alex Sarr,sarral01,41,11.5,6.6,2.2,39.7,30.7,64.4,46.2,12.7,0.1
Alondes Williams,willial06,1,5.0,0.0,1.0,100.0,100.0,-,125.0,54.5,0.0
Alperen Şengün,sengual01,46,19.1,10.4,5.0,49.1,22.7,70.8,50.1,22.3,5.4
Amen Thompson,thompam01,46,13.9,8.2,3.0,54.5,23.3,71.7,56.0,18.6,5.2
Amir Coffey,coffeam01,48,10.2,2.5,1.2,47.1,41.2,90.6,57.2,11.2,3.0
Andre Drummond,drumman01,28,7.1,7.6,0.6,50.9,9.1,57.4,51.3,14.2,0.6
Andre Jackson Jr.,jacksan01,46,4.0,3.3,1.5,46.9,38.8,55.6,55.0,8.6,0.9
Andrew Nembhard,nembhan01,32,10.9,3.4,5.3,47.8,34.6,75.6,52.7,13.4,1.6
Andrew Wiggins,wiggian01,43,17.6,4.6,2.3,44.4,37.9,77.7,52.4,16.6,3.1
Anfernee Simons,simonan01,46,18.1,2.8,4.9,42.0,36.6,89.3,51.6,14.5,2.1
Anthony Black,blackan01,47,8.8,2.6,3.4,40.3,26.6,74.2,44.3,9.7,0.9
Anthony Davis,davisan02,42,25.7,11.9,3.4,52.8,29.8,78.8,54.6,27.3,6.2
Anthony Edwards,edwaran01,49,26.5,5.7,4.5,44.6,42.1,83.2,54.7,18.8,4.4
Anthony Gill,gillan01,35,1.8,0.8,0.2,50.0,35.7,60.7,56.0,9.3,0.2
Antonio Reeves,reevean01,19,4.4,0.9,0.6,41.6,30.8,87.5,49.4,12.1,0.1
Ariel Hukporti,hukpoar01,18,1.6,1.7,0.3,64.7,-,60.0,64.7,8.2,0.1
Armel Traoré,armeltr01,8,1.5,1.8,0.1,27.8,0.0,28.6,27.8,2.9,-0.1
Ausar Thompson,thompau01,28,8.3,4.8,1.7,51.3,21.9,61.5,53.2,15.0,1.1
Austin Reaves,reaveau01,42,18.4,4.3,6.1,44.9,37.1,84.3,54.4,16.6,3.4
Ayo Dosunmu,dosunay01,39,12.2,3.7,4.6,48.3,34.1,78.5,55.6,12.9,2.2
Bam Adebayo,adebaba01,46,16.2,10.0,4.6,46.7,28.7,73.3,49.4,17.7,3.8
Baylor Scheierman,scheiba01,9,1.0,1.4,0.4,17.6,8.3,100.0,20.6,3.0,0.0
Ben Sheppard,sheppbe01,34,5.5,2.6,1.3,40.9,36.5,84.6,53.7,8.3,0.9
Ben Simmons,simmobe01,32,6.3,5.2,7.0,55.2,-,69.2,55.2,12.7,1.1
Bennedict Mathurin,mathube01,46,16.3,5.7,1.8,47.1,35.4,82.6,53.2,13.0,1.7
Bilal Coulibaly,coulibi01,45,12.5,4.9,3.3,42.1,28.2,77.0,47.3,11.1,0.3
Blake Wesley,weslebl01,31,3.1,0.7,1.9,46.3,19.0,73.9,48.8,11.0,0.1
Bobby Portis,portibo01,41,13.4,7.9,2.0,46.6,36.4,81.7,52.0,17.3,2.1
Bobi Klintman,klintbo01,3,0.0,0.7,0.3,0.0,0.0,-,0.0,-6.2,0.0
Bogdan Bogdanović,bogdabo01,24,10.0,2.8,2.0,37.1,30.1,88.2,46.9,7.7,-0.1
Bol Bol,bolbo01,13,3.2,1.5,0.2,53.6,23.1,66.7,58.9,15.5,0.1
Bones Hyland,hylanbo01,19,6.9,1.3,1.5,37.3,37.7,87.5,50.5,15.3,0.4
Bradley Beal,bealbr01,36,17.1,3.4,3.4,49.2,40.0,78.9,56.9,14.9,1.6
Branden Carlson,carlsbr01,15,3.1,1.7,0.4,45.7,42.9,100.0,62.9,18.1,0.4
Brandin Podziemski,podzibr01,36,8.9,4.5,3.3,43.0,33.6,80.0,51.4,13.1,1.8
Brandon Boston Jr.,bostobr01,41,10.7,3.2,2.2,43.7,34.1,80.2,49.9,12.9,0.8
Brandon Clarke,clarkbr01,46,7.8,5.0,1.0,61.5,6.3,67.9,61.6,16.3,3.1
Brandon Ingram,ingrabr01,18,22.2,5.6,5.2,46.5,37.4,85.5,53.0,16.3,0.1
Brandon Miller,millebr02,27,21.0,4.9,3.6,40.3,35.5,86.1,50.9,14.2,0.9
Brandon Williams,willibr03,17,2.8,0.8,1.1,40.0,33.3,76.9,46.3,9.7,0.0
Brice Sensabaugh,sensabr01,38,9.7,2.7,1.3,45.9,38.6,94.3,57.6,13.2,0.6
Bronny James,jamesbr02,15,0.7,0.5,0.4,13.0,0.0,100.0,13.0,-1.5,-0.3
Brook Lopez,lopezbr01,47,12.1,4.7,1.7,47.5,36.5,79.4,57.2,13.4,3.2
Bruce Brown,brownbr01,16,8.4,3.9,1.6,44.0,32.3,88.0,48.3,12.6,0.3
Bruno Fernando,fernabr01,17,3.4,3.0,1.1,53.1,-,75.0,53.1,15.5,0.2
Bryce McGowens,mcgowbr01,8,1.6,0.1,0.1,57.1,0.0,83.3,57.1,14.4,0.0
Buddy Hield,hieldbu01,49,11.5,3.2,1.6,41.1,36.6,82.2,53.8,12.0,1.3
CJ McCollum,mccolcj01,37,22.1,3.7,3.8,44.8,37.3,71.2,53.1,16.3,1.3
Cade Cunningham,cunnica01,46,25.3,6.3,9.5,45.5,35.6,83.6,50.9,19.7,3.2
Caleb Houstan,houstca01,34,2.9,1.0,0.4,31.6,30.6,100.0,44.9,5.4,0.4
Caleb Martin,martica02,31,9.1,4.4,2.2,43.5,37.9,62.2,50.6,10.3,0.9
Cam Christie,chrisca02,5,1.2,1.2,0.4,22.2,16.7,50.0,27.8,2.8,-0.1
Cam Reddish,reddica01,31,3.3,2.0,0.7,43.0,28.9,61.5,50.6,7.8,0.7
Cam Spencer,spencca01,10,4.0,1.7,1.6,43.3,31.3,100.0,51.7,11.4,0.3
Cam Thomas,thomaca02,19,24.7,3.6,3.4,44.8,37.5,87.6,52.8,18.5,1.1
Cam Whitmore,whitmca01,30,9.7,3.2,0.8,43.7,32.5,72.1,51.0,14.7,0.9
Cameron Johnson,johnsca02,35,19.4,4.1,2.9,49.1,41.9,89.8,61.3,18.4,3.3
Cameron Payne,payneca01,44,7.2,1.5,2.5,42.4,39.0,90.6,54.6,16.0,1.8
Caris LeVert,leverca01,36,10.8,2.8,3.8,47.4,42.3,69.9,57.9,15.6,2.6
Carlton Carrington,carrica01,49,8.4,3.9,3.8,38.7,32.7,81.0,47.8,7.9,-0.2
Cason Wallace,wallaca01,46,7.3,3.5,2.4,44.2,33.3,77.8,51.4,11.2,3.4
Charles Bassey,bassech01,32,4.6,4.6,0.4,57.3,-,63.6,57.3,19.5,1.0
Chet Holmgren,holmgch01,10,16.4,8.7,2.0,50.5,37.8,77.6,56.8,22.4,1.1
Chris Boucher,bouchch01,43,10.5,4.3,0.6,50.6,37.5,78.8,60.4,19.5,2.3
Chris Duarte,duartch01,17,2.1,1.2,0.5,46.2,40.0,75.0,57.7,16.6,0.3
Chris Livingston,livinch01,11,1.3,1.7,0.1,38.5,0.0,66.7,38.5,8.9,0.0
Chris Paul,paulch01,47,9.4,4.1,8.2,41.6,36.2,95.8,53.1,15.8,4.2
Christian Braun,braunch01,49,14.4,4.8,2.0,56.9,37.7,82.9,62.0,15.1,4.4
Christian Koloko,kolokch01,27,2.0,2.1,0.4,62.5,0.0,83.3,62.5,12.9,0.7
Clint Capela,capelca01,45,9.4,9.0,1.2,57.3,-,54.1,57.3,17.9,2.8
Coby White,whiteco01,43,18.4,3.4,4.6,43.5,36.6,88.6,54.0,13.8,1.7
Cody Martin,martico01,39,7.8,4.5,2.3,43.3,32.3,69.4,50.7,11.8,1.6
Cody Williams,willico04,26,3.9,2.2,1.3,30.0,23.8,63.6,36.3,3.3,-0.6
Colby Jones,jonesco02,23,1.1,0.9,0.2,44.0,44.4,-,52.0,7.5,0.1
Cole Anthony,anthoco01,46,9.1,2.9,2.8,42.1,31.7,79.2,48.4,13.8,0.9
Cole Swider,swideco01,2,0.0,1.0,0.5,0.0,0.0,-,0.0,-11.2,-0.1
Colin Castleton,castlco01,10,1.4,0.9,0.0,20.0,0.0,90.9,20.0,7.3,0.1
Collin Gillespie,gilleco01,5,1.4,0.8,0.2,60.0,100.0,-,70.0,20.3,0.1
Collin Sexton,sextoco01,46,18.3,2.9,4.1,47.8,41.2,89.4,54.7,16.8,2.3
Corey Kispert,kispeco01,44,11.4,3.0,1.6,44.7,35.3,86.9,55.0,11.0,0.7
Cory Joseph,josepco01,29,2.0,0.8,0.8,35.6,35.0,50.0,47.5,8.2,0.2
Craig Porter Jr.,portecr01,29,2.6,0.9,1.0,58.8,53.3,75.0,66.7,12.6,0.5
Cui Yongxi,cuiyo01,5,0.6,0.4,0.0,14.3,0.0,50.0,14.3,-10.8,-0.1
D'Angelo Russell,russeda01,40,13.2,2.9,5.3,41.2,34.0,88.9,50.5,15.6,1.9
D.J. Carton,cartodj01,4,0.8,1.0,0.8,14.3,0.0,100.0,14.3,-2.6,-0.1
DaQuan Jeffries,jeffrda01,16,5.3,2.6,0.9,44.9,37.5,87.5,55.8,11.2,0.6
Daeqwon Plowden,plowdda01,2,12.0,2.5,0.0,80.0,75.0,100.0,110.0,24.6,0.2
Daishen Nix,nixda01,3,0.3,1.3,1.0,0.0,0.0,50.0,0.0,-7.0,-0.1
Dalano Banton,bantoda01,38,8.8,1.9,2.2,41.0,35.7,70.3,48.8,15.0,0.5
Dalen Terry,terryda01,47,3.8,1.5,1.2,45.1,35.2,69.0,51.7,8.6,0.5
Dalton Knecht,knechda01,47,9.3,3.0,0.9,45.9,35.5,82.5,56.8,12.3,1.6
Damian Lillard,lillada01,40,25.0,4.6,7.3,44.6,38.0,92.2,54.3,21.4,5.4
Damion Lee,leeda03,12,3.2,0.8,0.6,33.3,15.8,100.0,37.5,11.9,-0.1
Daniel Gafford,gaffoda01,47,12.7,6.7,1.4,70.5,-,70.7,70.5,25.6,5.3
