"full_name","From","To","Pos","Ht","Wt","Birth Date","Colleges","player_id"
"Precious Achiuwa",2021,2026,"F","6-8",243,"September 19 1999","Memphis","achiupr01"
"Steven Adams",2014,2026,"C","6-11",265,"July 20 1993","Pitt","adamsst01"
"Bam Adebayo",2018,2026,"C-F","6-9",255,"July 18 1997","Kentucky","adebaba01"
"Ochai Agbaji",2023,2026,"G","6-5",215,"April 20 2000","Kansas","agbajoc01"
"Santi Aldama",2022,2026,"F-C","7-0",215,"January 10 2001","Loyola (MD)","aldamsa01"
"Trey Alexander",2025,2026,"G","6-5",185,"May 2 2003","Creighton","alexatr01"
"Nickeil Alexander-Walker",2020,2026,"G","6-5",205,"September 2 1998","Virginia Tech","alexani01"
"Grayson Allen",2019,2026,"G","6-3",198,"October 8 1995","Duke","allengr01"
"Jarrett Allen",2018,2026,"C-F","6-9",243,"April 21 1998","Texas","allenja01"
"Jose Alvarado",2022,2026,"G","6-0",179,"April 12 1998","Georgia Tech","alvarjo01"
"Kyle Anderson",2015,2026,"F-G","6-8",230,"September 20 1993","UCLA","anderky01"
"Alex Antetokounmpo",2026,2026,"F","6-8",214,"August 27 2001","","antetal01"
"Giannis Antetokounmpo",2014,2026,"F-G","6-11",243,"December 6 1994","","antetgi01"
"Thanasis Antetokounmpo",2016,2026,"F","6-7",219,"July 18 1992","","antetth01"
"Cole Anthony",2021,2026,"G","6-2",185,"May 15 2000","UNC","anthoco01"
"OG Anunoby",2018,2026,"F","6-7",240,"July 17 1997","Indiana","anunoog01"
"Deni Avdija",2021,2026,"G-F","6-8",228,"January 3 2001","","avdijde01"
"Deandre Ayton",2019,2026,"C","7-0",252,"July 23 1998","Arizona","aytonde01"
"Marcus Bagley",2025,2025,"F","6-8",215,"October 23 2001","Arizona State","baglema02"
"Marvin Bagley III",2019,2026,"F-C","6-10",235,"March 14 1999","Duke","baglema01"
"Ace Bailey",2026,2026,"G-F","6-9",200,"August 13 2006","Rutgers University","baileac01"
"Adama-Alpha Bal",2026,2026,"G","6-7",190,"December 18 2003","Arizona Santa Clara","balad01"
"Patrick Baldwin Jr.",2023,2026,"G-F","7-0",220,"November 18 2002","UW-Milwaukee","baldwpa01"
"LaMelo Ball",2021,2026,"G","6-7",180,"August 22 2001","","ballla01"
"Lonzo Ball",2018,2026,"G","6-5",190,"October 27 1997","UCLA","balllo01"
"Mo Bamba",2019,2026,"C","7-0",231,"May 12 1998","Texas","bambamo01"
"Paolo Banchero",2023,2026,"F","6-10",250,"November 12 2002","Duke","banchpa01"
"Desmond Bane",2021,2026,"G","6-6",215,"June 25 1998","TCU","banede01"
"Dalano Banton",2022,2026,"G-F","6-8",203,"November 7 1999","Nebraska","bantoda01"
"Dominick Barlow",2023,2026,"F","6-9",215,"May 26 2003","","barlodo01"
"Harrison Barnes",2013,2026,"F","6-7",225,"May 30 1992","UNC","barneha02"
"Scottie Barnes",2022,2026,"G-F","6-8",237,"August 1 2001","Florida State","barnesc01"
"Brooks Barnhizer",2026,2026,"G","6-5",230,"March 2 2002","Northwestern","barnhbr01"
"RJ Barrett",2020,2026,"G-F","6-6",214,"June 14 2000","Duke","barrerj01"
"Charles Bassey",2022,2026,"C","6-10",230,"October 28 2000","Western Kentucky","bassech01"
"Emoni Bates",2024,2025,"G","6-9",202,"January 28 2004","Memphis Eastern Michigan","batesem01"
"Jamison Battle",2025,2026,"F","6-7",220,"May 10 2001","George Washington Minnesota Ohio State","battlja01"
"Nicolas Batum",2009,2026,"F-G","6-7",230,"December 14 1988","","batumni01"
"Damion Baugh",2025,2025,"G","6-4",194,"August 3 2000","Memphis TCU","baughda01"
"Bradley Beal",2013,2026,"G","6-4",207,"June 28 1993","Florida","bealbr01"
"Malik Beasley",2017,2025,"G","6-4",187,"November 26 1996","Florida State","beaslma01"
"MarJon Beauchamp",2023,2026,"G","6-7",199,"October 12 2000","Yakima Valley Community College","beaucma01"
"Reece Beekman",2025,2025,"G","6-3",190,"October 8 2001","Virginia","beekmre01"
"Joan Beringer",2026,2026,"C","6-11",230,"November 11 2006","","berinjo01"
"Saddiq Bey",2021,2026,"F","6-8",215,"April 9 1999","Villanova","beysa01"
"Goga Bitadze",2020,2026,"C","6-11",250,"July 20 1999","","bitadgo01"
"Bismack Biyombo",2012,2026,"C-F","6-8",255,"August 28 1992","","biyombi01"
"Anthony Black",2024,2026,"G","6-7",200,"January 20 2004","Arkansas","blackan01"
"Leaky Black",2024,2026,"F","6-6",209,"June 14 1999","UNC","blackle01"
"Buddy Boeheim",2023,2026,"G","6-5",205,"November 11 1999","Syracuse","boehebu01"
"Bogdan Bogdanovi\u0107",2018,2026,"G","6-5",225,"August 18 1992","","bogdabo01"
"Bol Bol",2020,2025,"F-C","7-3",220,"November 16 1999","Oregon","bolbo01"
"Adem Bona",2025,2026,"C-F","6-10",235,"March 28 2003","UCLA","bonaad01"
"Devin Booker",2016,2026,"G","6-5",206,"October 30 1996","Kentucky","bookede01"
"Brandon Boston Jr.",2022,2025,"G-F","6-6",188,"November 28 2001","Kentucky","bostobr01"
"Chris Boucher",2018,2026,"F","6-8",200,"January 11 1993","New Mexico Junior College Northwest College Oregon","bouchch01"
"Jamaree Bouyea",2023,2026,"G","6-2",180,"June 27 1999","San Francisco","bouyeja01"
"Tony Bradley",2018,2026,"F-C","6-10",248,"January 8 1998","UNC","bradlto01"
"Malaki Branham",2023,2026,"G","6-4",180,"May 12 2003","Ohio State","branhma01"
"Christian Braun",2023,2026,"G","6-6",220,"April 17 2001","Kansas","braunch01"
"Koby Brea",2026,2026,"G","6-5",215,"November 6 2002","Dayton Kentucky","breako01"
"Jalen Bridges",2025,2025,"F","6-7",225,"May 14 2001","West Virginia Baylor","bridgja01"
